Car Name,Image,Fuel Type,Fuel Tank Capacity,Seating Capacity,Body Type,Tansmission Type
Skoda Rapid,skoda_rapid.jpg,Petrol,55,5,Sedan,Automatic
Skoda Superb,skoda_superb.jpg,Petrol,66,5,Sedan,Automatic
Skoda Yeti,skoda_yeti.jpg,Diesel,55,5,SUV,Manual
Tata Aria,tata_aria.jpg,Diesel,65,7,MUV,Automatic
Tata Bolt,tata_bolt.jpg,Petrol,44,5,Hatchback,Manual
Tata Hexa,tata_hexa.jpg,Diesel,60,7,SUV,Manual
Tata Indica Vista,tata_indica_vista.jpg,Diesel,37,5,Hatchback,Manual
Tata Indica eV2,tata_indica_ev2.jpg,Petrol,37,5,Hatchback,Manual
Tata Indigo eCS,tata_indigo_ecs.jpg,Petrol,42,5,Sedan,Manual
Tata Nano,tata_nano.jpg,Diesel,15,4,Hatchback,Manual
Tata Nano GenX,tata_nano_genx.jpg,Petrol,24,4,Hatchback,Manual
Tata Safari,tata_safari.jpg,Diesel,65,7,SUV,Manual
Tata Safari Storme,tata_safari_storme.jpg,Diesel,63,5,SUV,Manual
Tata Sumo Gold,tata_sumo_gold.jpg,Diesel,65,7,SUV,Manual
Tata Tiago,tata_tiago.jpg,Petrol,35,5,Hatchback,Automatic
Tata Tigor,tata_tigor.jpg,Petrol,35,5,Sedan,Automatic
Tata Zest,tata_zest.jpg,Petrol,44,5,Sedan,Manual
Toyota Camry,toyota_camry.jpg,Petrol,50,5,Sedan,Automatic
Toyota Corolla Altis,toyota_corolla_altis.jpg,Petrol,55,5,Sedan,Manual
Toyota Etios Liva,toyota_etios_liva.jpg,Petrol,45,5,Hatchback,Manual
Toyota Fortuner,toyota_fortuner.jpg,Diesel,80,7,SUV,Automatic
Toyota Innova,toyota_innova.jpg,Diesel,55,7,SUV,Automatic
Toyota Innova Crysta,toyota_innova_crysta.jpg,Diesel,55,7,SUV,Automatic
Volkswagen Ameo,volkswagen_ameo.jpg,Petrol,45,5,Sedan,Manual
Volkswagen Jetta,volkswagen_jetta.jpg,Petrol,55,5,Sedan,Manual
Volkswagen Polo,volkswagen_polo.jpg,Petrol,45,5,Hatchback,Automatic
Volkswagen Vento,volkswagen_vento.jpg,Petrol,55,5,Sedan,Automatic
